TIENDA_ID,MESES_CUMPLIDOS,MESES_TOTALES,PORCENTAJE_CUMPLIMIENTO,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,geometry,densidad_varias_500m,oxxo_500m,dist_min_varias,dist_min_oxxo,buffer_500m,densidad_pob_500m
1,18,21,0.8571428571428571,2,C,Hogar,131.41666666666666,12,12,26.00177,-98.24284,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.24284 26.001769999999993),14,3,5.246189805561209,5.246189805561209,"POLYGON ((576275.0386605844 2876099.3616133803, 576272.6310239205 2876050.3530432153, 576265.431300786 2876001.8164523724, 576253.5088284505 2875954.2192747532, 576236.97842684 2875908.019897198, 576215.9992927585 2875863.6632449673, 576190.7734667356 2875821.5764968703, 576161.5438872657 2875782.1649712985, 576128.5920511776 2875745.808222787, 576092.2353026662 2875712.856386699, 576052.8237770941 2875683.626807229, 576010.7370289974 2875658.400981206, 575966.3803767669 2875637.4218471246, 575920.1809992116 2875620.8914455143, 575872.5838215924 2875608.9689731784, 575824.0472307492 2875601.769250044, 575775.0386605844 2875599.3616133803, 575726.0300904196 2875601.769250044, 575677.4934995763 2875608.9689731784, 575629.8963219571 2875620.8914455143, 575583.6969444018 2875637.4218471246, 575539.3402921713 2875658.400981206, 575497.2535440746 2875683.626807229, 575457.8420185025 2875712.856386699, 575421.4852699911 2875745.808222787, 575388.533433903 2875782.1649712985, 575359.3038544331 2875821.5764968703, 575334.0780284102 2875863.6632449673, 575313.0988943287 2875908.019897198, 575296.5684927183 2875954.2192747532, 575284.6460203828 2876001.8164523724, 575277.4462972482 2876050.3530432153, 575275.0386605844 2876099.3616133803, 575277.4462972482 2876148.370183545, 575284.6460203828 2876196.906774388, 575296.5684927183 2876244.5039520073, 575313.0988943287 2876290.7033295627, 575334.0780284102 2876335.059981793, 575359.3038544331 2876377.1467298903, 575388.533433903 2876416.558255462, 575421.4852699911 2876452.9150039735, 575457.8420185025 2876485.8668400617, 575497.2535440746 2876515.0964195314, 575539.3402921713 2876540.3222455545, 575583.6969444018 2876561.301379636, 575629.8963219571 2876577.8317812462, 575677.4934995763 2876589.754253582, 575726.0300904196 2876596.9539767164, 575775.0386605844 2876599.3616133803, 575824.0472307492 2876596.9539767164, 575872.5838215924 2876589.754253582, 575920.1809992116 2876577.8317812462, 575966.3803767669 2876561.301379636, 576010.7370289974 2876540.3222455545, 576052.8237770941 2876515.0964195314, 576092.2353026662 2876485.8668400617, 576128.5920511776 2876452.9150039735, 576161.5438872657 2876416.558255462, 576190.7734667356 2876377.1467298903, 576215.9992927585 2876335.059981793, 576236.97842684 2876290.7033295627, 576253.5088284505 2876244.5039520073, 576265.431300786 2876196.906774388, 576272.6310239205 2876148.370183545, 576275.0386605844 2876099.3616133803))",0.0
2,20,21,0.9523809523809523,2,C,Hogar,150.6,10,10,26.04198,-98.3562,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.3562 26.041979999999995),20,3,163.17150422829073,384.6232179073553,"POLYGON ((564907.9241540135 2880491.7424371205, 564905.5165173496 2880442.7338669556, 564898.3167942151 2880394.1972761126, 564886.3943218796 2880346.6000984935, 564869.8639202692 2880300.400720938, 564848.8847861877 2880256.0440687076, 564823.6589601648 2880213.9573206105, 564794.4293806949 2880174.545795039, 564761.4775446068 2880138.1890465273, 564725.1207960953 2880105.237210439, 564685.7092705233 2880076.0076309694, 564643.6225224265 2880050.7818049463, 564599.265870196 2880029.802670865, 564553.0664926408 2880013.2722692546, 564505.4693150215 2880001.3497969187, 564456.9327241783 2879994.1500737844, 564407.9241540135 2879991.7424371205, 564358.9155838487 2879994.1500737844, 564310.3789930055 2880001.3497969187, 564262.7818153863 2880013.2722692546, 564216.582437831 2880029.802670865, 564172.2257856005 2880050.7818049463, 564130.1390375037 2880076.0076309694, 564090.7275119317 2880105.237210439, 564054.3707634202 2880138.1890465273, 564021.4189273322 2880174.545795039, 563992.1893478623 2880213.9573206105, 563966.9635218394 2880256.0440687076, 563945.9843877578 2880300.400720938, 563929.4539861474 2880346.6000984935, 563917.5315138119 2880394.1972761126, 563910.3317906774 2880442.7338669556, 563907.9241540135 2880491.7424371205, 563910.3317906774 2880540.7510072854, 563917.5315138119 2880589.2875981284, 563929.4539861474 2880636.8847757475, 563945.9843877578 2880683.084153303, 563966.9635218394 2880727.4408055334, 563992.1893478623 2880769.5275536305, 564021.4189273322 2880808.9390792022, 564054.3707634202 2880845.295827714, 564090.7275119317 2880878.247663802, 564130.1390375037 2880907.4772432717, 564172.2257856005 2880932.703069295, 564216.582437831 2880953.682203376, 564262.7818153863 2880970.2126049865, 564310.3789930055 2880982.1350773224, 564358.9155838487 2880989.3348004567, 564407.9241540135 2880991.7424371205, 564456.9327241783 2880989.3348004567, 564505.4693150215 2880982.1350773224, 564553.0664926408 2880970.2126049865, 564599.265870196 2880953.682203376, 564643.6225224265 2880932.703069295, 564685.7092705233 2880907.4772432717, 564725.1207960953 2880878.247663802, 564761.4775446068 2880845.295827714, 564794.4293806949 2880808.9390792022, 564823.6589601648 2880769.5275536305, 564848.8847861877 2880727.4408055334, 564869.8639202692 2880683.084153303, 564886.3943218796 2880636.8847757475, 564898.3167942151 2880589.2875981284, 564905.5165173496 2880540.7510072854, 564907.9241540135 2880491.7424371205))",0.0
3,20,21,0.9523809523809523,2,C,Hogar,130.5,12,9,26.02464,-98.26098,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.26098 26.02464),11,1,11.324863225586022,11.324863225586022,"POLYGON ((574445.2321130447 2878621.8122809385, 574442.8244763808 2878572.8037107736, 574435.6247532463 2878524.2671199306, 574423.7022809108 2878476.6699423115, 574407.1718793004 2878430.470564756, 574386.1927452189 2878386.1139125256, 574360.966919196 2878344.0271644285, 574331.7373397261 2878304.615638857, 574298.785503638 2878268.258890345, 574262.4287551265 2878235.307054257, 574223.0172295545 2878206.0774747874, 574180.9304814577 2878180.851648764, 574136.5738292272 2878159.872514683, 574090.374451672 2878143.3421130725, 574042.7772740527 2878131.4196407367, 573994.2406832095 2878124.2199176024, 573945.2321130447 2878121.8122809385, 573896.2235428799 2878124.2199176024, 573847.6869520367 2878131.4196407367, 573800.0897744175 2878143.3421130725, 573753.8903968622 2878159.872514683, 573709.5337446317 2878180.851648764, 573667.4469965349 2878206.0774747874, 573628.0354709629 2878235.307054257, 573591.6787224514 2878268.258890345, 573558.7268863634 2878304.615638857, 573529.4973068935 2878344.0271644285, 573504.2714808705 2878386.1139125256, 573483.292346789 2878430.470564756, 573466.7619451786 2878476.6699423115, 573454.8394728431 2878524.2671199306, 573447.6397497086 2878572.8037107736, 573445.2321130447 2878621.8122809385, 573447.6397497086 2878670.8208511034, 573454.8394728431 2878719.3574419464, 573466.7619451786 2878766.9546195655, 573483.292346789 2878813.153997121, 573504.2714808705 2878857.5106493514, 573529.4973068935 2878899.5973974485, 573558.7268863634 2878939.00892302, 573591.6787224514 2878975.3656715318, 573628.0354709629 2879008.31750762, 573667.4469965349 2879037.5470870896, 573709.5337446317 2879062.772913113, 573753.8903968622 2879083.752047194, 573800.0897744175 2879100.2824488045, 573847.6869520367 2879112.2049211403, 573896.2235428799 2879119.4046442746, 573945.2321130447 2879121.8122809385, 573994.2406832095 2879119.4046442746, 574042.7772740527 2879112.2049211403, 574090.374451672 2879100.2824488045, 574136.5738292272 2879083.752047194, 574180.9304814577 2879062.772913113, 574223.0172295545 2879037.5470870896, 574262.4287551265 2879008.31750762, 574298.785503638 2878975.3656715318, 574331.7373397261 2878939.00892302, 574360.966919196 2878899.5973974485, 574386.1927452189 2878857.5106493514, 574407.1718793004 2878813.153997121, 574423.7022809108 2878766.9546195655, 574435.6247532463 2878719.3574419464, 574442.8244763808 2878670.8208511034, 574445.2321130447 2878621.8122809385))",0.0
4,21,21,1.0,2,A,Hogar,130.41666666666666,12,9,26.04326,-98.23851,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.23851 26.04326),4,0,184.63406367074705,682.3797177563639,"POLYGON ((576681.5975000309 2880696.9003943494, 576679.189863367 2880647.8918241845, 576671.9901402325 2880599.3552333415, 576660.067667897 2880551.7580557223, 576643.5372662866 2880505.558678167, 576622.558132205 2880461.2020259365, 576597.3323061821 2880419.1152778394, 576568.1027267122 2880379.7037522676, 576535.1508906242 2880343.347003756, 576498.7941421127 2880310.395167668, 576459.3826165406 2880281.165588198, 576417.2958684439 2880255.939762175, 576372.9392162134 2880234.9606280937, 576326.7398386581 2880218.4302264834, 576279.1426610389 2880206.5077541475, 576230.6060701957 2880199.3080310132, 576181.5975000309 2880196.9003943494, 576132.5889298661 2880199.3080310132, 576084.0523390229 2880206.5077541475, 576036.4551614036 2880218.4302264834, 575990.2557838483 2880234.9606280937, 575945.8991316179 2880255.939762175, 575903.8123835211 2880281.165588198, 575864.400857949 2880310.395167668, 575828.0441094376 2880343.347003756, 575795.0922733495 2880379.7037522676, 575765.8626938796 2880419.1152778394, 575740.6368678567 2880461.2020259365, 575719.6577337752 2880505.558678167, 575703.1273321648 2880551.7580557223, 575691.2048598293 2880599.3552333415, 575684.0051366948 2880647.8918241845, 575681.5975000309 2880696.9003943494, 575684.0051366948 2880745.9089645143, 575691.2048598293 2880794.4455553573, 575703.1273321648 2880842.0427329764, 575719.6577337752 2880888.242110532, 575740.6368678567 2880932.5987627623, 575765.8626938796 2880974.6855108594, 575795.0922733495 2881014.097036431, 575828.0441094376 2881050.4537849426, 575864.400857949 2881083.405621031, 575903.8123835211 2881112.6352005005, 575945.8991316179 2881137.8610265236, 575990.2557838483 2881158.840160605, 576036.4551614036 2881175.3705622153, 576084.0523390229 2881187.293034551, 576132.5889298661 2881194.4927576855, 576181.5975000309 2881196.9003943494, 576230.6060701957 2881194.4927576855, 576279.1426610389 2881187.293034551, 576326.7398386581 2881175.3705622153, 576372.9392162134 2881158.840160605, 576417.2958684439 2881137.8610265236, 576459.3826165406 2881112.6352005005, 576498.7941421127 2881083.405621031, 576535.1508906242 2881050.4537849426, 576568.1027267122 2881014.097036431, 576597.3323061821 2880974.6855108594, 576622.558132205 2880932.5987627623, 576643.5372662866 2880888.242110532, 576660.067667897 2880842.0427329764, 576671.9901402325 2880794.4455553573, 576679.189863367 2880745.9089645143, 576681.5975000309 2880696.9003943494))",0.0
5,21,21,1.0,2,C,Hogar,130.33333333333334,12,8,26.06397,-98.26165,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.26165 26.063969999999998),10,1,3.055745481815955,3.055745481815955,"POLYGON ((574353.5437535556 2882977.2323668534, 574351.1361168918 2882928.2237966885, 574343.9363937572 2882879.6872058455, 574332.0139214217 2882832.0900282264, 574315.4835198113 2882785.890650671, 574294.5043857298 2882741.5339984405, 574269.2785597069 2882699.4472503434, 574240.048980237 2882660.0357247717, 574207.0971441489 2882623.67897626, 574170.7403956375 2882590.727140172, 574131.3288700654 2882561.4975607023, 574089.2421219687 2882536.271734679, 574044.8854697382 2882515.2926005977, 573998.6860921829 2882498.7621989874, 573951.0889145636 2882486.8397266516, 573902.5523237204 2882479.6400035173, 573853.5437535556 2882477.2323668534, 573804.5351833908 2882479.6400035173, 573755.9985925476 2882486.8397266516, 573708.4014149284 2882498.7621989874, 573662.2020373731 2882515.2926005977, 573617.8453851426 2882536.271734679, 573575.7586370459 2882561.4975607023, 573536.3471114738 2882590.727140172, 573499.9903629624 2882623.67897626, 573467.0385268743 2882660.0357247717, 573437.8089474044 2882699.4472503434, 573412.5831213815 2882741.5339984405, 573391.6039873 2882785.890650671, 573375.0735856895 2882832.0900282264, 573363.151113354 2882879.6872058455, 573355.9513902195 2882928.2237966885, 573353.5437535556 2882977.2323668534, 573355.9513902195 2883026.2409370183, 573363.151113354 2883074.7775278613, 573375.0735856895 2883122.3747054804, 573391.6039873 2883168.574083036, 573412.5831213815 2883212.9307352663, 573437.8089474044 2883255.0174833634, 573467.0385268743 2883294.429008935, 573499.9903629624 2883330.7857574467, 573536.3471114738 2883363.737593535, 573575.7586370459 2883392.9671730045, 573617.8453851426 2883418.1929990277, 573662.2020373731 2883439.172133109, 573708.4014149284 2883455.7025347194, 573755.9985925476 2883467.6250070552, 573804.5351833908 2883474.8247301895, 573853.5437535556 2883477.2323668534, 573902.5523237204 2883474.8247301895, 573951.0889145636 2883467.6250070552, 573998.6860921829 2883455.7025347194, 574044.8854697382 2883439.172133109, 574089.2421219687 2883418.1929990277, 574131.3288700654 2883392.9671730045, 574170.7403956375 2883363.737593535, 574207.0971441489 2883330.7857574467, 574240.048980237 2883294.429008935, 574269.2785597069 2883255.0174833634, 574294.5043857298 2883212.9307352663, 574315.4835198113 2883168.574083036, 574332.0139214217 2883122.3747054804, 574343.9363937572 2883074.7775278613, 574351.1361168918 2883026.2409370183, 574353.5437535556 2882977.2323668534))",0.0
6,20,21,0.9523809523809523,2,C,Hogar,130.08333333333334,12,8,26.02745,-98.35609,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.35609 26.02745),4,1,344.18152629304416,354.93538739379846,"POLYGON ((564926.8671139246 2878882.6204624125, 564924.4594772607 2878833.6118922476, 564917.2597541262 2878785.0753014046, 564905.3372817907 2878737.4781237855, 564888.8068801803 2878691.27874623, 564867.8277460987 2878646.9220939996, 564842.6019200758 2878604.8353459025, 564813.372340606 2878565.4238203308, 564780.4205045179 2878529.067071819, 564744.0637560064 2878496.115235731, 564704.6522304344 2878466.8856562614, 564662.5654823376 2878441.659830238, 564618.2088301071 2878420.680696157, 564572.0094525518 2878404.1502945465, 564524.4122749326 2878392.2278222106, 564475.8756840894 2878385.0280990764, 564426.8671139246 2878382.6204624125, 564377.8585437598 2878385.0280990764, 564329.3219529166 2878392.2278222106, 564281.7247752973 2878404.1502945465, 564235.525397742 2878420.680696157, 564191.1687455116 2878441.659830238, 564149.0819974148 2878466.8856562614, 564109.6704718427 2878496.115235731, 564073.3137233313 2878529.067071819, 564040.3618872432 2878565.4238203308, 564011.1323077733 2878604.8353459025, 563985.9064817504 2878646.9220939996, 563964.9273476689 2878691.27874623, 563948.3969460585 2878737.4781237855, 563936.474473723 2878785.0753014046, 563929.2747505885 2878833.6118922476, 563926.8671139246 2878882.6204624125, 563929.2747505885 2878931.6290325774, 563936.474473723 2878980.1656234204, 563948.3969460585 2879027.7628010395, 563964.9273476689 2879073.962178595, 563985.9064817504 2879118.3188308254, 564011.1323077733 2879160.4055789225, 564040.3618872432 2879199.817104494, 564073.3137233313 2879236.1738530057, 564109.6704718427 2879269.125689094, 564149.0819974148 2879298.3552685636, 564191.1687455116 2879323.5810945868, 564235.525397742 2879344.560228668, 564281.7247752973 2879361.0906302785, 564329.3219529166 2879373.0131026143, 564377.8585437598 2879380.2128257486, 564426.8671139246 2879382.6204624125, 564475.8756840894 2879380.2128257486, 564524.4122749326 2879373.0131026143, 564572.0094525518 2879361.0906302785, 564618.2088301071 2879344.560228668, 564662.5654823376 2879323.5810945868, 564704.6522304344 2879298.3552685636, 564744.0637560064 2879269.125689094, 564780.4205045179 2879236.1738530057, 564813.372340606 2879199.817104494, 564842.6019200758 2879160.4055789225, 564867.8277460987 2879118.3188308254, 564888.8068801803 2879073.962178595, 564905.3372817907 2879027.7628010395, 564917.2597541262 2878980.1656234204, 564924.4594772607 2878931.6290325774, 564926.8671139246 2878882.6204624125))",0.0
7,20,21,0.9523809523809523,2,C,Hogar,130.25,12,8,26.08957,-98.33238,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.33238 26.08957),5,0,9.372027008140432,528.5690565159039,"POLYGON ((567264.0364066048 2885774.2773585967, 567261.6287699409 2885725.268788432, 567254.4290468064 2885676.732197589, 567242.5065744709 2885629.1350199697, 567225.9761728605 2885582.9356424143, 567204.997038779 2885538.578990184, 567179.771212756 2885496.4922420867, 567150.5416332862 2885457.080716515, 567117.5897971981 2885420.7239680034, 567081.2330486866 2885387.772131915, 567041.8215231146 2885358.5425524455, 566999.7347750178 2885333.3167264224, 566955.3781227873 2885312.337592341, 566909.178745232 2885295.8071907307, 566861.5815676128 2885283.884718395, 566813.0449767696 2885276.6849952606, 566764.0364066048 2885274.2773585967, 566715.02783644 2885276.6849952606, 566666.4912455968 2885283.884718395, 566618.8940679776 2885295.8071907307, 566572.6946904223 2885312.337592341, 566528.3380381918 2885333.3167264224, 566486.251290095 2885358.5425524455, 566446.839764523 2885387.772131915, 566410.4830160115 2885420.7239680034, 566377.5311799234 2885457.080716515, 566348.3016004536 2885496.4922420867, 566323.0757744306 2885538.578990184, 566302.0966403491 2885582.9356424143, 566285.5662387387 2885629.1350199697, 566273.6437664032 2885676.732197589, 566266.4440432687 2885725.268788432, 566264.0364066048 2885774.2773585967, 566266.4440432687 2885823.2859287616, 566273.6437664032 2885871.8225196046, 566285.5662387387 2885919.4196972237, 566302.0966403491 2885965.619074779, 566323.0757744306 2886009.9757270096, 566348.3016004536 2886052.0624751067, 566377.5311799234 2886091.4740006784, 566410.4830160115 2886127.83074919, 566446.839764523 2886160.782585278, 566486.251290095 2886190.012164748, 566528.3380381918 2886215.237990771, 566572.6946904223 2886236.2171248524, 566618.8940679776 2886252.7475264627, 566666.4912455968 2886264.6699987985, 566715.02783644 2886271.869721933, 566764.0364066048 2886274.2773585967, 566813.0449767696 2886271.869721933, 566861.5815676128 2886264.6699987985, 566909.178745232 2886252.7475264627, 566955.3781227873 2886236.2171248524, 566999.7347750178 2886215.237990771, 567041.8215231146 2886190.012164748, 567081.2330486866 2886160.782585278, 567117.5897971981 2886127.83074919, 567150.5416332862 2886091.4740006784, 567179.771212756 2886052.0624751067, 567204.997038779 2886009.9757270096, 567225.9761728605 2885965.619074779, 567242.5065744709 2885919.4196972237, 567254.4290468064 2885871.8225196046, 567261.6287699409 2885823.2859287616, 567264.0364066048 2885774.2773585967))",0.0
8,20,21,0.9523809523809523,2,C,Base,130.58333333333334,12,9,26.04768,-98.2894,Hogar ReuniÃ³n,UT_TRAFICO_VEHICULAR,TRAIN,POINT (-98.2894 26.047680000000003),1,0,421.0632990824424,503.7437236066973,"POLYGON ((571587.5858335227 2881157.6959547773, 571585.1781968588 2881108.6873846124, 571577.9784737243 2881060.1507937694, 571566.0560013888 2881012.5536161503, 571549.5255997784 2880966.354238595, 571528.5464656969 2880921.9975863644, 571503.320639674 2880879.9108382673, 571474.0910602041 2880840.4993126956, 571441.139224116 2880804.142564184, 571404.7824756046 2880771.190728096, 571365.3709500325 2880741.961148626, 571323.2842019357 2880716.735322603, 571278.9275497053 2880695.7561885216, 571232.72817215 2880679.2257869113, 571185.1309945307 2880667.3033145755, 571136.5944036875 2880660.103591441, 571087.5858335227 2880657.6959547773, 571038.5772633579 2880660.103591441, 570990.0406725147 2880667.3033145755, 570942.4434948955 2880679.2257869113, 570896.2441173402 2880695.7561885216, 570851.8874651097 2880716.735322603, 570809.800717013 2880741.961148626, 570770.3891914409 2880771.190728096, 570734.0324429295 2880804.142564184, 570701.0806068414 2880840.4993126956, 570671.8510273715 2880879.9108382673, 570646.6252013486 2880921.9975863644, 570625.646067267 2880966.354238595, 570609.1156656566 2881012.5536161503, 570597.1931933211 2881060.1507937694, 570589.9934701866 2881108.6873846124, 570587.5858335227 2881157.6959547773, 570589.9934701866 2881206.704524942, 570597.1931933211 2881255.241115785, 570609.1156656566 2881302.8382934043, 570625.646067267 2881349.0376709597, 570646.6252013486 2881393.39432319, 570671.8510273715 2881435.4810712873, 570701.0806068414 2881474.892596859, 570734.0324429295 2881511.2493453706, 570770.3891914409 2881544.201181459, 570809.800717013 2881573.4307609284, 570851.8874651097 2881598.6565869516, 570896.2441173402 2881619.635721033, 570942.4434948955 2881636.1661226433, 570990.0406725147 2881648.088594979, 571038.5772633579 2881655.2883181134, 571087.5858335227 2881657.6959547773, 571136.5944036875 2881655.2883181134, 571185.1309945307 2881648.088594979, 571232.72817215 2881636.1661226433, 571278.9275497053 2881619.635721033, 571323.2842019357 2881598.6565869516, 571365.3709500325 2881573.4307609284, 571404.7824756046 2881544.201181459, 571441.139224116 2881511.2493453706, 571474.0910602041 2881474.892596859, 571503.320639674 2881435.4810712873, 571528.5464656969 2881393.39432319, 571549.5255997784 2881349.0376709597, 571566.0560013888 2881302.8382934043, 571577.9784737243 2881255.241115785, 571585.1781968588 2881206.704524942, 571587.5858335227 2881157.6959547773))",0.0
9,21,21,1.0,2,C,Hogar,130.16666666666666,12,8,26.01405,-98.39384,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.39384000000001 26.014049999999994),2,1,174.49215935507164,271.4553579987305,"POLYGON ((561156.5622504501 2877380.5178889823, 561154.1546137863 2877331.5093188174, 561146.9548906517 2877282.9727279744, 561135.0324183162 2877235.3755503553, 561118.5020167058 2877189.1761728, 561097.5228826243 2877144.8195205694, 561072.2970566014 2877102.7327724723, 561043.0674771315 2877063.3212469006, 561010.1156410434 2877026.964498389, 560973.758892532 2876994.012662301, 560934.3473669599 2876964.783082831, 560892.2606188632 2876939.557256808, 560847.9039666327 2876918.5781227266, 560801.7045890774 2876902.0477211163, 560754.1074114582 2876890.1252487805, 560705.5708206149 2876882.925525646, 560656.5622504501 2876880.5178889823, 560607.5536802853 2876882.925525646, 560559.0170894421 2876890.1252487805, 560511.4199118229 2876902.0477211163, 560465.2205342676 2876918.5781227266, 560420.8638820371 2876939.557256808, 560378.7771339404 2876964.783082831, 560339.3656083683 2876994.012662301, 560303.0088598569 2877026.964498389, 560270.0570237688 2877063.3212469006, 560240.8274442989 2877102.7327724723, 560215.601618276 2877144.8195205694, 560194.6224841945 2877189.1761728, 560178.092082584 2877235.3755503553, 560166.1696102485 2877282.9727279744, 560158.969887114 2877331.5093188174, 560156.5622504501 2877380.5178889823, 560158.969887114 2877429.526459147, 560166.1696102485 2877478.06304999, 560178.092082584 2877525.6602276093, 560194.6224841945 2877571.8596051647, 560215.601618276 2877616.216257395, 560240.8274442989 2877658.3030054923, 560270.0570237688 2877697.714531064, 560303.0088598569 2877734.0712795756, 560339.3656083683 2877767.023115664, 560378.7771339404 2877796.2526951334, 560420.8638820371 2877821.4785211566, 560465.2205342676 2877842.457655238, 560511.4199118229 2877858.9880568483, 560559.0170894421 2877870.910529184, 560607.5536802853 2877878.1102523184, 560656.5622504501 2877880.5178889823, 560705.5708206149 2877878.1102523184, 560754.1074114582 2877870.910529184, 560801.7045890774 2877858.9880568483, 560847.9039666327 2877842.457655238, 560892.2606188632 2877821.4785211566, 560934.3473669599 2877796.2526951334, 560973.758892532 2877767.023115664, 561010.1156410434 2877734.0712795756, 561043.0674771315 2877697.714531064, 561072.2970566014 2877658.3030054923, 561097.5228826243 2877616.216257395, 561118.5020167058 2877571.8596051647, 561135.0324183162 2877525.6602276093, 561146.9548906517 2877478.06304999, 561154.1546137863 2877429.526459147, 561156.5622504501 2877380.5178889823))",0.0
11,17,21,0.8095238095238095,2,C,Hogar,130.66666666666666,12,9,26.00828,-98.40705,Hogar ReuniÃ³n,UT_DENSIDAD,TRAIN,POINT (-98.40705 26.008279999999996),12,1,10.83562874642858,10.83562874642858,"POLYGON ((559837.5489681081 2876735.4375127754, 559835.1413314443 2876686.4289426105, 559827.9416083097 2876637.8923517675, 559816.0191359742 2876590.2951741484, 559799.4887343638 2876544.095796593, 559778.5096002823 2876499.7391443625, 559753.2837742594 2876457.6523962654, 559724.0541947895 2876418.2408706937, 559691.1023587014 2876381.884122182, 559654.74561019 2876348.932286094, 559615.3340846179 2876319.7027066243, 559573.2473365212 2876294.476880601, 559528.8906842907 2876273.4977465197, 559482.6913067354 2876256.9673449094, 559435.0941291162 2876245.0448725736, 559386.5575382729 2876237.8451494393, 559337.5489681081 2876235.4375127754, 559288.5403979433 2876237.8451494393, 559240.0038071001 2876245.0448725736, 559192.4066294809 2876256.9673449094, 559146.2072519256 2876273.4977465197, 559101.8505996951 2876294.476880601, 559059.7638515984 2876319.7027066243, 559020.3523260263 2876348.932286094, 558983.9955775149 2876381.884122182, 558951.0437414268 2876418.2408706937, 558921.8141619569 2876457.6523962654, 558896.588335934 2876499.7391443625, 558875.6092018525 2876544.095796593, 558859.078800242 2876590.2951741484, 558847.1563279065 2876637.8923517675, 558839.956604772 2876686.4289426105, 558837.5489681081 2876735.4375127754, 558839.956604772 2876784.4460829403, 558847.1563279065 2876832.9826737833, 558859.078800242 2876880.5798514024, 558875.6092018525 2876926.779228958, 558896.588335934 2876971.1358811883, 558921.8141619569 2877013.2226292854, 558951.0437414268 2877052.634154857, 558983.9955775149 2877088.9909033687, 559020.3523260263 2877121.942739457, 559059.7638515984 2877151.1723189265, 559101.8505996951 2877176.3981449497, 559146.2072519256 2877197.377279031, 559192.4066294809 2877213.9076806414, 559240.0038071001 2877225.8301529773, 559288.5403979433 2877233.0298761115, 559337.5489681081 2877235.4375127754, 559386.5575382729 2877233.0298761115, 559435.0941291162 2877225.8301529773, 559482.6913067354 2877213.9076806414, 559528.8906842907 2877197.377279031, 559573.2473365212 2877176.3981449497, 559615.3340846179 2877151.1723189265, 559654.74561019 2877121.942739457, 559691.1023587014 2877088.9909033687, 559724.0541947895 2877052.634154857, 559753.2837742594 2877013.2226292854, 559778.5096002823 2876971.1358811883, 559799.4887343638 2876926.779228958, 559816.0191359742 2876880.5798514024, 559827.9416083097 2876832.9826737833, 559835.1413314443 2876784.4460829403, 559837.5489681081 2876735.4375127754))",0.0
